Date,Close,Volume
2021-01-22,377.843414,52860500
2021-01-25,379.333557,70402000
2021-01-26,378.741455,42665300
2021-01-27,369.484833,123351100
2021-01-28,372.662506,94198100
2021-01-29,365.201935,126765100
2021-02-01,371.280884,75817600
2021-02-02,376.530945,64450700
2021-02-03,376.826996,52427100
2021-02-04,381.109863,47142600
2021-02-05,382.609863,48669800
2021-02-08,385.373077,38365200
2021-02-09,385.116455,35551100
2021-02-10,384.948669,59154400
2021-02-11,385.570374,42913300
2021-02-12,387.475037,50593300
2021-02-16,387.139526,50972400
2021-02-17,387.228302,52290600
2021-02-18,385.580261,59712800
2021-02-19,384.899323,83241000
2021-02-22,381.938812,67414200
2021-02-23,382.402618,107284100
2021-02-24,386.616455,72433900
2021-02-25,377.300659,146670500
2021-02-26,375.356567,152701600
2021-03-01,384.455261,105348800
2021-03-02,381.455261,79595300
2021-03-03,376.402618,119940200
2021-03-04,371.74469,183433000
2021-03-05,378.583557,152039600
2021-03-08,376.698669,123149200
2021-03-09,382.076996,113633600
2021-03-10,384.455261,109899400
2021-03-11,388.353333,86245000
2021-03-12,388.876373,64653600
2021-03-15,391.195465,73427200
2021-03-16,390.702026,73722500
2021-03-17,392.034271,97959300
2021-03-18,386.330322,115349100
2021-03-19,385.615479,113624500
2021-03-22,388.69458,73778600
2021-03-23,385.635284,90686600
2021-03-24,383.674896,97588600
2021-03-25,385.833282,116128600
2021-03-26,392.050995,114409100
2021-03-29,391.852966,108107600
2021-03-30,390.813385,76262200
2021-03-31,392.397491,112734200
2021-04-01,396.63501,99682900
2021-04-05,402.327942,91684800
2021-04-06,402.090363,62021000
2021-04-07,402.555664,55836300
2021-04-08,404.466522,57863100
2021-04-09,407.407074,61104600
2021-04-12,407.555603,56704900
2021-04-13,408.763428,56551000
2021-04-14,407.367493,61659900
2021-04-15,411.743591,60229800
2021-04-16,413.119812,82037300
2021-04-19,411.090149,78498500
2021-04-20,408.080322,81851800
2021-04-21,411.94162,66793000
2021-04-22,408.179321,97582800
2021-04-23,412.60495,73209200
2021-04-26,413.466309,52182400
2021-04-27,413.377258,51303100
2021-04-28,413.258392,51238900
2021-04-29,415.892029,78544300
2021-04-30,413.159424,85527000
2021-05-03,414.050507,68128300
2021-05-04,411.496063,101591200
2021-05-05,411.624817,60162200
2021-05-06,414.911835,74321400
2021-05-07,417.93158,67733800
2021-05-10,413.793091,81852400
2021-05-11,410.100067,116888000
2021-05-12,401.38739,134811000
2021-05-13,406.209045,106394000
2021-05-14,412.446533,82201600
2021-05-17,411.397064,65129200
2021-05-18,407.852631,59810200
2021-05-19,406.783325,106467100
2021-05-20,411.159454,78022200
2021-05-21,410.822876,76578700
2021-05-24,415.010895,51376700
2021-05-25,414.090057,57451400
2021-05-26,414.911835,43088600
2021-05-27,415.129669,56707700
2021-05-28,415.872223,58520200
2021-06-01,415.50592,54216600
2021-06-02,416.159332,49097100
2021-06-03,414.614838,58138800
2021-06-04,418.40683,55938800
2021-06-07,418.000916,51555000
2021-06-08,418.089996,47134300
2021-06-09,417.466217,48436300
2021-06-10,419.406769,51020100
2021-06-11,420.099854,45570800
2021-06-14,421.040436,42358500
2021-06-15,420.268188,51508500
2021-06-16,417.921692,80386100
2021-06-17,417.783081,90949700
2021-06-18,412.147034,118676300
2021-06-21,418.047302,72822000
2021-06-22,420.282257,57700300
2021-06-23,419.775696,49445400
2021-06-24,422.258972,45110300
2021-06-25,423.75885,58129500
2021-06-28,424.613129,53159600
2021-06-29,424.841583,35970500
2021-06-30,425.199188,64827900
2021-07-01,427.553345,53441000
2021-07-02,430.82135,57697700
2021-07-06,430.036621,68710400
2021-07-07,431.556396,63549500
2021-07-08,428.04007,97595200
2021-07-09,432.609314,76238600
2021-07-12,434.158905,52889600
2021-07-13,432.678864,52911300
2021-07-14,433.324524,64130400
2021-07-15,431.844482,55126400
2021-07-16,428.457245,75874700
2021-07-19,422.129852,147987000
2021-07-20,428.179138,99608200
2021-07-21,431.645813,64724400
2021-07-22,432.549713,47878500
2021-07-23,436.999817,63766600
2021-07-26,438.072571,43719200
2021-07-27,436.076019,67397100
2021-07-28,435.897217,52472400
2021-07-29,437.705048,47435300
2021-07-30,435.579346,68890600
2021-08-02,434.665497,58783300
2021-08-03,438.201691,58053900
2021-08-04,436.046234,46732200
2021-08-05,438.807648,38969700
2021-08-06,439.532745,46864100
2021-08-09,439.17514,41222600
2021-08-10,439.721466,43339300
2021-08-11,440.814148,44034300
2021-08-12,442.135254,38909400
2021-08-13,442.93985,39388300
2021-08-16,443.982819,73740000
2021-08-17,441.072418,92673900
2021-08-18,436.244873,89351900
2021-08-19,436.920319,92812200
2021-08-20,440.396942,71975900
2021-08-23,444.270905,54973000
2021-08-24,444.976135,38744700
2021-08-25,445.909851,40529700
2021-08-26,443.277557,57829600
2021-08-27,447.240906,77201900
2021-08-30,449.207642,48357400
2021-08-31,448.542145,59300200
2021-09-01,448.780518,48721400
2021-09-02,450.161255,42501000
2021-09-03,450.051971,47170500
2021-09-07,448.44278,51671500
2021-09-08,447.896484,56181900
2021-09-09,445.979401,57970400
2021-09-10,442.463043,89848000
2021-09-13,443.595428,83738600
2021-09-14,441.201538,78197100
2021-09-15,444.886749,78792200
2021-09-16,444.181488,77786700
2021-09-17,439.854675,118425000
2021-09-20,432.520447,166445500
2021-09-21,432.111908,92526100
2021-09-22,436.327057,102350100
2021-09-23,441.628448,76396000
2021-09-24,442.355896,62094800
2021-09-27,441.090363,61371100
2021-09-28,432.201569,130436300
2021-09-29,432.929016,82329200
2021-09-30,427.637634,140181200
2021-10-01,432.719757,129240100
2021-10-04,427.139374,128570000
2021-10-05,431.58374,90682500
2021-10-06,433.377441,113032200
2021-10-07,437.124268,72437500
2021-10-08,436.327057,74492900
2021-10-11,433.168182,65233300
2021-10-12,432.101929,71181200
2021-10-13,433.656464,72974000
2021-10-14,440.950836,70236800
2021-10-15,444.309021,66226800
2021-10-18,445.62442,62213200
2021-10-19,449.062347,46996800
2021-10-20,450.826141,49571600
2021-10-21,452.002014,41305400
2021-10-22,451.533661,58845100
2021-10-25,453.955139,45214500
2021-10-26,454.363708,56075100
2021-10-27,452.3508,72438000
2021-10-28,456.715454,51437900
2021-10-29,457.642181,70108200
2021-11-01,458.429443,48433600
2021-11-02,460.282898,48908400
2021-11-03,463.093048,52509800
2021-11-04,465.275391,52847100
2021-11-05,466.889709,66332200
2021-11-08,467.2883,50405200
2021-11-09,465.743744,51149100
2021-11-10,461.996887,69429700
2021-11-11,462.146362,34848500
2021-11-12,465.634094,53423300
2021-11-15,465.793549,46980500
2021-11-16,467.637085,48857500
2021-11-17,466.501099,47858300
2021-11-18,468.08551,50625600
2021-11-19,467.248474,57315600
2021-11-22,465.933075,72762000
2021-11-23,466.550903,73206500
2021-11-24,467.796509,61858800
2021-11-26,457.36319,112669600
2021-11-29,462.97348,86268800
2021-11-30,453.965118,148559600
2021-12-01,448.922821,131939200
2021-12-02,455.798676,127637800
2021-12-03,451.832611,137167700
2021-12-06,457.183807,98977500
2021-12-07,466.640594,95484700
2021-12-08,467.876221,72238800
2021-12-09,464.717346,61272600
2021-12-10,469.091949,76949400
2021-12-13,464.936584,87724700
2021-12-14,461.737793,97264100
2021-12-15,468.952454,116899300
2021-12-16,464.816986,116568600
2021-12-17,459.869995,135511600
2021-12-20,454.980011,107134800
2021-12-21,463.059998,69806300
2021-12-22,467.690002,58890200
2021-12-23,470.600006,56439700
2021-12-27,477.26001,56808600
2021-12-28,476.869995,47274600
2021-12-29,477.480011,54503000
2021-12-30,476.160004,55329000
2021-12-31,474.959991,65237400
2022-01-03,477.709991,72668200
2022-01-04,477.549988,71178700
2022-01-05,468.380005,104538900
2022-01-06,467.940002,86858900
2022-01-07,466.089996,85064800
2022-01-10,465.51001,119362000
2022-01-11,469.75,74303100
2022-01-12,471.019989,67605400
2022-01-13,464.529999,91173100
2022-01-14,464.720001,95849600
2022-01-18,456.48999,109709100
2022-01-19,451.75,109357600
2022-01-20,446.75,122379700
2022-01-21,437.980011,201913500
